"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\common\type_def\typesdef.dart", "Dart", 2, 0, 1, 3
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\app_constants.dart", "Dart", 40, 2, 3, 45
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\endpoints.dart", "Dart", 1, 1, -2, 0
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\di\service_locator.dart", "Dart", 17, 7, 4, 28
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\functions\app_bloc_providers.dart", "Dart", 1, 0, 0, 1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\functions\pdf_viewer_helper.dart", "Dart", 47, 5, 5, 57
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\screens\layouts\mobile_layout.dart", "Dart", -1, 0, 0, -1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\screens\pdf_viewer_page.dart", "Dart", -284, -19, -21, -324
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\NewBookCard.dart", "Dart", 1, -4, -1, -4
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\TopRatedBookCard.dart", "Dart", 0, -5, 1, -4
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\manager\cubit\pdf_search_state_cubit.dart", "Dart", 34, 6, 10, 50
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\manager\cubit\pdf_search_state_state.dart", "Dart", 8, 2, 5, 15
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\manager\pdfViewrCubit\pdf_viewer_cubit.dart", "Dart", 14, 3, 4, 21
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\manager\pdfViewrCubit\pdf_viewer_state.dart", "Dart", 21, 1, 2, 24
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\pdf_viewer_page.dart", "Dart", 127, 17, 23, 167
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\widgets\pdfViewerAppbar.dart", "Dart", 43, 5, 6, 54
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\widgets\pdf_page_indicator.dart", "Dart", 47, 0, 3, 50
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\widgets\pdf_search_result_widget.dart", "Dart", 53, 2, 4, 59
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\pdfViewer\precentation\widgets\pdf_view_dialogs.dart", "Dart", 76, 4, 5, 85
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\data\data_source\remote_search_books.dart", "Dart", 31, 3, 8, 42
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\data\models\search_books_model.dart", "Dart", 86, 3, 23, 112
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\data\models\search_books_model.g.dart", "Dart", 34, 5, 5, 44
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\data\repo\search_books_repo.dart", "Dart", 34, 0, 5, 39
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\domain\entity\search_books_entity.dart", "Dart", 8, 0, 7, 15
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\domain\repo\search_book_repo.dart", "Dart", 6, 0, 2, 8
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\domain\useCasees\search_book_use_case.dart", "Dart", 21, 1, 9, 31
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\precentation\manager\search_books\search_books_cubit.dart", "Dart", 44, 8, 21, 73
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\precentation\manager\search_books\search_books_cubit_state.dart", "Dart", 23, 0, 9, 32
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\precentation\search_page.dart", "Dart", 9, 0, 4, 13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\precentation\widgets\BuildSearchBookCard.dart", "Dart", 12, 0, 2, 14
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\search\precentation\widgets\searchBooksConsumer.dart", "Dart", 41, 1, 3, 45
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\main.dart", "Dart", 2, 0, 0, 2
"Total", "-", 598, 48, 150, 796
